법인명,사업자번호,사업자번호(필터링X),기업고유번호
비엠코리아,134-81-*****,134-81-93704,00657826
산타디자인,101-86-*****,,
삼광파이핑,113-81-*****,,
삼성기술,622-81-*****,,
삼성기업,615-81-*****,,
삼성니들,203-81-*****,,
삼성리테일,308-81-*****,,
삼손앰앤앰,105-87-*****,,
삼신,125-81-*****,,
삼우전설,503-81-*****,,
삼익이엔지,127-86-*****,,
삼정스틸,126-81-*****,126-81-59059,01020010
삼진통상,124-86-*****,,
삼한전설,502-81-*****,,
삼호전자,513-81-*****,,
상경레미콘,509-81-*****,,
새천년,605-81-*****,,
새한주,109-86-*****,,
샘그린비앤비,778-86-*****,,
서금,384-88-*****,,
서영약품,209-81-*****,,
서원프로모션,204-86-*****,,
서종기업,597-81-*****,,
서진,409-81-*****,,
서파상사,114-81-*****,,
선양,123-81-*****,123-81-11041,00661193
선우실업,858-81-*****,,
선원유통,606-86-*****,,
선이앤씨,613-81-*****,,
선진금속,119-81-*****,119-81-21730,01296367
성경마트,788-88-*****,,
성경피엠,807-88-*****,,
성광이엠티씨,610-86-*****,,
성균,410-86-*****,,
성아산업,633-87-*****,,
성우기계,130-86-*****,,
성우엔지니어링,609-81-*****,,
성우티에스디,134-81-*****,,
성우티에스디,308-81-*****,,
성은엠엔에스,127-86-*****,,
성진물산,301-81-*****,,
성창공업,139-81-*****,139-81-25157,00979153
성창기계,603-81-*****,603-81-18536,00870959
성창염직,133-81-*****,133-81-27967,00942876
성호종합건설,223-81-*****,223-81-08943,00914697
세광주택건설,513-81-*****,,
세명진하이테크,515-81-*****,,
세미,505-81-*****,,
세상,108-81-*****,,
세양,613-81-*****,,
세원엔프라,131-86-*****,131-86-10806,00961552
세일몬디알,211-81-*****,,
세주종합건설,224-81-*****,,
세창씨엔씨,134-81-*****,,
세화하우징,605-81-*****,,
소비자유통,141-81-*****,,
송석메디칼,204-81-*****,,
송인서적,207-81-*****,,
송재,129-81-*****,,
수빈팜,140-81-*****,,
수영물산,254-87-*****,,
수호상사,607-81-*****,,
순영,409-81-*****,,
스타인터내셔널디자인,214-88-*****,,
스테이젠,129-81-*****,,
승미유통,224-81-*****,,
승현,402-81-*****,,
승현,114-81-*****,,
시그날,606-81-*****,,
시마,503-81-*****,,
시에프코리아,107-88-*****,,
신광금속,603-81-*****,603-81-35646,01219881
신동양,135-81-*****,,
신성부품판매,204-81-*****,,
신안생소협물류,204-86-*****,,
신안엠디,439-87-*****,,
신영다우리,109-86-*****,,
신영에프앤씨,108-81-*****,,
신우실업,426-81-*****,,
신일일렉탑,108-81-*****,,
신진하이텍,131-81-*****,,
신한티엠에이,606-81-*****,,
신흥안전유리,127-81-*****,127-81-78777,01220151
신흥파이프,608-81-*****,,
신흥하모니,121-86-*****,,
심우기획,201-81-*****,,
써치인프라,106-87-*****,,
쎄븐,132-81-*****,,
쏘시에떼렌,107-81-*****,,
씨앤씨,131-81-*****,,
씨에이케미칼,137-81-*****,,
아름드리,132-86-*****,,
아름오션,137-86-*****,,
아산개발,121-81-*****,,
아성펠리체,409-86-*****,,
아세아에프에이,125-86-*****,,
아이엠파마,107-86-*****,,
아이온에프앤지,603-81-*****,603-81-34079,00769875
아이원에스앤디,114-81-*****,,
아이지에스피,514-81-*****,,
아이탑유통,132-86-*****,,
아이피엠,140-81-*****,,
아트서비스,201-81-*****,201-81-68446,00445878
알천푸드,605-86-*****,,
알파텍스타일,503-81-*****,,
앙상블,130-81-*****,,
앤드로,204-86-*****,,
양성건설,409-81-*****,,
양지산업,137-81-*****,,
에그린유통,210-81-*****,,
에나인더스트리,505-81-*****,505-81-21590,00492478
에너지테크,621-81-*****,,
에너텍린나이,124-86-*****,,
에센트테크,136-81-*****,,
에스씨전자,134-81-*****,134-81-83225,01156379
에스엠에이,410-86-*****,,
에스엠이엔지,613-88-*****,,
에어로시스템,605-81-*****,,
에이미세븐,689-81-*****,,
에이앤에스,606-86-*****,,
에이원파트너스,410-86-*****,,
에이치에스포장산업,142-81-*****,,
에이톰코리아,214-87-*****,,
에이플러스종합건설,418-81-*****,,
에코로바,108-81-*****,108-81-43199,00484576
에코젠,617-81-*****,617-81-35010,01172827
엔티에스,131-81-*****,,
엘림무역,126-81-*****,,
엘케이이노베이션,605-81-*****,605-81-31156,00965938
엘플러스,409-86-*****,409-86-07219,01091799
엠에스코리아2,231-81-*****,,
엠투케이,828-87-*****,,
엠피텍솔루션,125-81-*****,,
여정,401-81-*****,,
영광전기,126-86-*****,126-86-34897,01165234
영구산업,501-81-*****,,
영남기공,508-81-*****,,
영남소프트,501-81-*****,,
영남약품,621-81-*****,621-81-21456,00367206
영산산업기계,615-81-*****,615-81-11744,01150649
영산중공업,615-81-*****,615-81-40614,01150630
영진교역,110-86-*****,,
영진산업개발,612-81-*****,612-81-18656,01243295
영진홀딩스,204-86-*****,,
영진화학,301-81-*****,,
영포물산,795-87-*****,,
영훈어패럴,206-81-*****,,
옐로우애플,107-88-*****,,
오베론코스메틱,117-81-*****,,
오월의바람,282-88-*****,,
온새미로,132-86-*****,132-86-02731,01247422
올원레포츠,206-86-*****,,
요성철강,606-81-*****,606-81-17782,01172580
용마공영,206-81-*****,,
용마트,647-81-*****,,
용스타,101-87-*****,,
용진테크,126-81-*****,,
우광에프앤씨,127-86-*****,,
우리선진,606-86-*****,,
우리정도,315-81-*****,315-81-35166,00562315
우리티앤이,114-86-*****,,
우성금속,514-81-*****,,
우성아트,140-81-*****,,
우정설비,606-81-*****,,
우주홀딩스,114-81-*****,114-81-83459,00365493
우진에너지,222-81-*****,,
우진패션비즈,109-81-*****,109-81-51197,00557094
원광도어,127-86-*****,127-86-17362,01029589
원진유통,210-81-*****,,
원평산업,747-88-*****,,
월드빅토리아,109-86-*****,,
월드타일,525-81-*****,,
유넥스,603-81-*****,603-81-26322,00605346
유니켐,401-81-*****,,
유앤오일넷,402-81-*****,402-81-80397,01159367
유진엠플러스,119-81-*****,,
유창산공,621-81-*****,621-81-35912,01293768
율전이앤씨,220-81-*****,,
은현물산,286-86-*****,,
의석,128-81-*****,,
이건사,203-81-*****,,
이노메디슨,220-87-*****,,
이니텍기계,137-81-*****,137-81-21136,00769583
이더블유이엔지,121-81-*****,,
이래,401-81-*****,,
이레메탈,140-81-*****,,
이솔,538-81-*****,,
이솔FNC,128-86-*****,,
이엔산업,125-81-*****,,
이엔에이치,137-86-*****,,
이오스옵텍,104-81-*****,,
이지오인터내셔날,201-86-*****,,
이테크인프라,121-81-*****,121-81-91336,00758514
인트로,128-86-*****,,
일겸목재,137-81-*****,,
일광콘스텍,416-81-*****,,
일월어망,603-81-*****,,
일진종합건설,408-81-*****,,
자이온개발,130-86-*****,,
정광개발,610-81-*****,,
정성토건,621-81-*****,,
