사업자번호,법인명,성명,주소,당좌거래 정지일
411-81-*****,대현중공업,,전남영암군삼호읍난전리,20171123
127-86-*****,대호,,경기양주시광적면부흥로,20170405
603-81-*****,대화유통,,부산서구천마로,20170321
220-88-*****,더드림그라운드,,경기고양시일산서구산남로,20180614
615-86-*****,더블플러스,,부산강서구대저로,20170419
508-81-*****,더케이건설,,인천서구간재울길,20161202
105-86-*****,도파니,,서울마포구마포대로,20171027
113-81-*****,돌빛,,서울구로구구일로,20180524
132-86-*****,동남식자재,,경기남양주시화도읍비룡로,20170926
724-88-*****,동서물산,,서울송파구송파대로,20170228
214-81-*****,동서조경,,충북진천군덕산면한삼로,20171130
504-81-*****,동성에어텍,,대구북구고성로,20180104
603-81-*****,동성케이블,,부산서구토성동1가,20170508
871-81-*****,동송물산,,서울중구퇴계로,20180322
113-81-*****,동양강구재,,서울구로구경인로,20161117
610-81-*****,동양디엔씨,,울산울주군범서읍천상6길,20180305
503-86-*****,동양물산케미칼,,경기의정부시평화로,20180227
121-81-*****,동양해운,,인천중구연안부두로,20170303
416-81-*****,동영산업,,전남순천시서면산단4길,20170202
606-81-*****,동영코엘스,,울산울주군언양읍반천산업로,20160902
621-81-*****,동우에스텍,,경남양산시주남동,20160803
124-86-*****,동원FOS,,경기수원시권선구정조로,20160926
505-85-*****,동원산업,,경북영천시금호읍칠백로,20170525
129-81-*****,동원씨에스수산,,경기성남시중원구둔촌대로,20171221
139-81-*****,동진,,인천서구원당대로,20161005
114-86-*****,동천,,경기양주시만송로260,20171102
503-81-*****,동현텍스,,대구서구염색공단중앙로,20161201
119-81-*****,동호스포츠,,서울관악구남부순환로,20171204
211-86-*****,두리텍스타일,,서울강남구강남대로,20180416
602-81-*****,두리통상,,부산중구중앙대로,20170802
109-86-*****,두성디에스,,서울강서구강서로,20161027
615-81-*****,디에이치아이,,경남김해시진례면고모로,20161214
136-81-*****,디에이치와이,,경기김포시통진읍가현리,20170329
223-81-*****,디와이푸드,,강원홍천군북방면성동로,20161214
106-86-*****,디자인일다,,서울강남구봉은사로,20170303
124-87-*****,디케이케미칼,,경기화성시장안면포승장안로,20170104
137-81-*****,디페트엠,,인천서구청라에메랄드로,20180427
137-81-*****,락희제약,,경기김포시하성면봉성로,20170427
123-86-*****,로미유통,,경기안양시만안구경수대로,20171011
207-81-*****,로얄비엔비,,서울영등포구여의대방로,20161215
220-87-*****,로얄식자재,,서울강남구남부순환로,20170302
551-87-*****,루비산업,,경기남양주시진건읍진관로,20170913
108-86-*****,리바인코리아,,서울동작구만양로,20170224
206-86-*****,만다라,,서울중랑구동일로,20180404
211-87-*****,매스트,,서울서초구양재동,20170221
123-81-*****,맥스컴,,경기안양시만안구전파로,20171012
124-86-*****,맥스포,,경기용인시처인구양지면반정로,20180320
410-86-*****,머신나노텍,,광주광산구원두로,20170704
137-81-*****,명성건업,,경기김포시양촌면누산봉성로,20180503
569-87-*****,명성유통센타,,경기수원시영통구영통로,20170913
306-81-*****,모리아,,대전동구산내로,20180221
513-81-*****,목림,,경북고령군개진면광도길,20180720
315-81-*****,무진축산,,충북청주시흥덕구사운로,20161202
224-81-*****,무한,,강원원주시남원로,20161214
305-81-*****,미강메디텍,,대전서구월평로,20161229
134-86-*****,미도건설,,서울서초구방배중앙로,20161110
403-81-*****,미래산업개발,,전북김제시화동길,20170912
621-86-*****,미래스텐엘엔씨,,부산금정구식물원로,20161229
302-81-*****,미미제과식품,,충북옥천군군북면자모길,20180704
302-81-*****,미오테크,,충남금산군금성면금성공단로,20170524
480-88-*****,미우실업,,서울종로구대학로,20170704
747-87-*****,미주,,경기양주시평화로,20170328
114-86-*****,바른손팬시,,경기용인시처인구양지면주북로,20170802
105-87-*****,바른손플러스,,서울구로구디지털로,20180104
417-81-*****,반석,,전남여수시산단중앙로,20180713
402-81-*****,반석레미콘,,전북진안군용담면안용로,20170208
409-81-*****,백두산악,,광주서구상무대로,20170303
204-86-*****,백운기업,,서울관악구신림로,20170619
218-81-*****,범양교역,,서울광진구아차산로,20171012
211-86-*****,베세토어패럴,,경기성남시중원구갈마치로,20180202
206-81-*****,별그린에프앤씨,,서울성동구무학로,20160825
402-81-*****,보람약품,,전북전주시덕진구견훤로,20160902
125-81-*****,보부식품,,경기평택시팽성읍근내2길,20170602
202-81-*****,보성레이블,,서울중구을지로,20180305
113-86-*****,보성쇼핑,,경기파주시숲속노을로,20171027
403-81-*****,보원건설산업,,전북익산시황등면후정4길,20171102
392-88-*****,복머니,,경기남양주시진건읍사릉로,20171106
215-86-*****,부광하드웨어,,경기남양주시가운로121번길,20161123
503-81-*****,부국주철,,경북고령군다산면다산산단로28-24,20171102
505-81-*****,부성,,경북경주시강동면새마을로,20161012
440-81-*****,부은유통,,대구동구팔공로,20170321
409-81-*****,부일중기,,광주서구매월2로,20170920
362-87-*****,비알상사,,서울종로구종로44길,20170418
128-86-*****,비앤피,,경기고양시일산동구공릉천로,20170303
134-81-*****,비엠코리아,,경기안산시단원구장자골로,20170404
101-86-*****,산타디자인,,경기고양시일산동구중앙로,20170412
113-81-*****,삼광파이핑,,서울금천구벚꽃로,20180202
622-81-*****,삼성기술,,경남김해시한림면용덕리,20161214
615-81-*****,삼성기업,,경남김해시상동면장척로,20160902
203-81-*****,삼성니들,,서울강남구논현로,20161005
308-81-*****,삼성리테일,,대전중구테미로,20160825
105-87-*****,삼손앰앤앰,,서울종로구진흥로,20170303
125-81-*****,삼신,,전북군산시자유무역1길,20161005
503-81-*****,삼우전설,,경북청도군이서면학산길,20161121
127-86-*****,삼익이엔지,,경기양주시은현면은남로,20170517
126-81-*****,삼정스틸,,경기성남시중원구둔촌대로,20170920
124-86-*****,삼진통상,,경기화성시향남읍서봉로,20161010
502-81-*****,삼한전설,,대구동구동부로,20180305
513-81-*****,삼호전자,,경북구미시산동면첨단기업5로,20160913
509-81-*****,상경레미콘,,경북의성군의성읍경북대로,20171113
605-81-*****,새천년,,부산부산진구부전로,20170508
109-86-*****,새한주,,서울양천구곰달래로,20170113
778-86-*****,샘그린비앤비,,서울성북구정릉로,20170731
384-88-*****,서금,,서울강동구천호옛길,20180426
209-81-*****,서영약품,,서울성북구안암로,20161102
204-86-*****,서원프로모션,,경기구리시안골로,20170704
597-81-*****,서종기업,,서울강북구도봉로,20171031
409-81-*****,서진,,광주북구용봉로,20161230
114-81-*****,서파상사,,서울관악구남부순환로,20171228
123-81-*****,선양,,경기화성시비봉면푸른들판로,20161005
858-81-*****,선우실업,,서울중랑구동일로,20171106
606-86-*****,선원유통,,부산중구동광동,20170707
613-81-*****,선이앤씨,,전북전주시완산구서곡5길,20161019
119-81-*****,선진금속,,서울금천구벚꽃로,20171012
788-88-*****,성경마트,,경기오산시운천로,20171128
807-88-*****,성경피엠,,서울구로구경서로,20180620
610-86-*****,성광이엠티씨,,울산남구두왕로,20170202
410-86-*****,성균,,광주서구내방로,20161202
633-87-*****,성아산업,,경기김포시양촌읍황금로,20180704
130-86-*****,성우기계,,인천남구염전로,20180404
609-81-*****,성우엔지니어링,,경남창원시성산구공단로,20170628
134-81-*****,성우티에스디,,경기시흥시금오로,20160831
308-81-*****,성우티에스디,,충남논산시연무읍행정1길,20170831
127-86-*****,성은엠엔에스,,경기양주시남면구암리,20170913
301-81-*****,성진물산,,충북청주시흥덕구1순환로,20161028
139-81-*****,성창공업,,인천남동구앵고개로,20180403
603-81-*****,성창기계,,부산강서구화전산단6로,20180202
133-81-*****,성창염직,,경기시흥시옥구천서로,20170802
223-81-*****,성호종합건설,,경남김해시전하로,20170404
513-81-*****,세광주택건설,,경북김천시삼락택지2길,20180321
515-81-*****,세명진하이테크,,경북경산시압량면압량길,20170214
505-81-*****,세미,,경북영천시고경면상리공단길,20170426
108-81-*****,세상,,서울동대문구한천로,20180104
613-81-*****,세양,,경남사천시사남면공단1로,20160919
131-86-*****,세원엔프라,,인천남동구함박뫼로,20160803
211-81-*****,세일몬디알,,서울강남구학동길,20170712
224-81-*****,세주종합건설,,강원원주시시청로,20171012
134-81-*****,세창씨엔씨,,서울송파구송파대로,20170706
605-81-*****,세화하우징,,부산연제구거평로,20161006
141-81-*****,소비자유통,,서울송파구송파대로,20170724
204-81-*****,송석메디칼,,서울동대문구장한로,20160902
207-81-*****,송인서적,,경기파주시파주읍윗가마울길,20170104
129-81-*****,송재,,경기성남시중원구갈마치로,20180305
140-81-*****,수빈팜,,경기시흥시비둘기공원7길,20170214
254-87-*****,수영물산,,서울송파구중대로,20160926
607-81-*****,수호상사,,부산동래구충렬대로,20160919
409-81-*****,순영,,전남광양시광양읍숲샘길,20160930
214-88-*****,스타인터내셔널디자인,,서울강남구도산대로,20180220
129-81-*****,스테이젠,,서울노원구동일로,20180117
224-81-*****,승미유통,,강원원주시명륜로,20180328
402-81-*****,승현,,전라북도전주시덕진구혁신로,20180213
114-81-*****,승현,,서울관악구관악로,20170131
606-81-*****,시그날,,경남밀양시삼랑진읍삼랑진로,20170104
503-81-*****,시마,,대구동구동대구로,20180306
107-88-*****,시에프코리아,,서울양천구등촌로,20180427
603-81-*****,신광금속,,경남창원시의창구평산로,20170904
135-81-*****,신동양,,경기하남시조정대로,20180604
204-81-*****,신성부품판매,,서울동대문구한천로,20170328
