법인명,사업자번호,보고서명,접수번호,접수일자
광우티앤씨,218-81-18018,감사보고서 (2011.12),20120404001355,20120404
광우티앤씨,218-81-18018,감사보고서 (2010.12),20110408001385,20110408
광우티앤씨,218-81-18018,감사보고서 (2009.12),20100405001420,20100405
광우티앤씨,218-81-18018,감사보고서 (2008.12),20090401000507,20090401
광우티앤씨,218-81-18018,감사보고서 (2007.12),20080331000353,20080331
광우티앤씨,218-81-18018,[기재정정]감사보고서 (2006.12),20070403000438,20070403
경인,122-81-08354,[기재정정]감사보고서 (2016.12),20170425000919,20170426
경인,122-81-08354,감사보고서 (2015.12),20160401002333,20160401
경인,122-81-08354,감사보고서 (2014.12),20150406000721,20150406
경인,122-81-08354,감사보고서 (2013.12),20140401001908,20140401
경인,122-81-08354,감사보고서 (2012.12),20130404000094,20130404
경인,122-81-08354,감사보고서 (2011.12),20120409000527,20120409
경인,122-81-08354,감사보고서 (2010.12),20110408000886,20110408
경인,122-81-08354,감사보고서 (2009.12),20100408000021,20100408
경인,122-81-08354,감사보고서 (2008.12),20090406001162,20090406
경인,122-81-08354,감사보고서 (2007.12),20080404000101,20080404
경인,122-81-08354,[기재정정]감사보고서 (2006.12),20071212000036,20071212
경인,122-81-08354,감사보고서 (2005.12),20060405000768,20060405
경인,122-81-08354,감사보고서 (2004.12),20050401001876,20050402
경인,122-81-08354,감사보고서 (2003.12),20040402001118,20040403
경인,122-81-08354,감사보고서 (2002.12),20030403000272,20030403
경인,122-81-08354,감사보고서 (2001.12),20020402000028,20020402
경인,122-81-08354,[기재정정]감사보고서 (2000.12),20020131000235,20020201
경인,122-81-08354,감사보고서 (1999.12),20000404000508,20000406
경인산업개발,126-81-27479,감사보고서 (2010.12),20110405000272,20110405
경인산업개발,126-81-27479,감사보고서 (2008.12),20090413000893,20090413
경인산업개발,126-81-27479,감사보고서 (2007.12),20080331000228,20080331
경인산업개발,126-81-27479,감사보고서 (2006.12),20070404000340,20070404
광영이엔씨,610-81-54049,감사보고서 (2017.12),20180413001891,20180413
광영이엔씨,610-81-54049,감사보고서 (2016.12),20170413001407,20170413
광영이엔씨,610-81-54049,감사보고서 (2015.12),20160414002329,20160414
광영이엔씨,610-81-54049,감사보고서 (2014.12),20150403000154,20150403
광영이엔씨,610-81-54049,[기재정정]감사보고서 (2013.12),20140411000448,20140411
광영이엔씨,610-81-54049,감사보고서 (2012.12),20130404000201,20130404
광영이엔엠,147-81-00462,감사보고서 (2017.12),20180413001901,20180413
광영이엔엠,147-81-00462,[기재정정]감사보고서 (2016.12),20170330001050,20170330
그린기전,131-81-54643,감사보고서 (2016.12),20170419000386,20170419
그린기전,131-81-54643,감사보고서 (2015.12),20160414000822,20160414
그린기전,131-81-54643,[기재정정]감사보고서 (2014.12),20150514001021,20150514
그린기전,131-81-54643,감사보고서 (2013.12),20140415000464,20140415
그린기전,131-81-54643,감사보고서 (2012.12),20130415000226,20130415
그린기전,131-81-54643,감사보고서 (2011.12),20120416000746,20120417
극동이엔지,134-81-61857,감사보고서 (2017.12),20180430000927,20180430
극동이엔지,134-81-61857,감사보고서 (2016.12),20170404002140,20170404
극동이엔지,134-81-61857,감사보고서 (2015.12),20160401000723,20160401
극동이엔지,134-81-61857,감사보고서 (2014.12),20150410001114,20150410
극동이엔지,134-81-61857,감사보고서 (2013.12),20140411000800,20140411
금오하이텍,127-81-71565,감사보고서 (2017.12),20180413001247,20180413
금오하이텍,127-81-71565,[기재정정]감사보고서 (2012.12),20131114000300,20131114
금오하이텍,127-81-71565,감사보고서 (2011.12),20120412001706,20120412
금오하이텍,127-81-71565,감사보고서 (2010.12),20110405001011,20110405
금오하이텍,127-81-71565,감사보고서 (2009.12),20100408000903,20100408
금오하이텍,127-81-71565,감사보고서 (2008.12),20090406001312,20090406
금우,609-81-22509,감사보고서 (2017.12),20180416000211,20180416
금우,609-81-22509,감사보고서 (2016.12),20170410000913,20170410
금우,609-81-22509,감사보고서 (2015.12),20160331001603,20160331
금우,609-81-22509,감사보고서 (2014.12),20150407000652,20150407
금우,609-81-22509,감사보고서 (2013.12),20140401001104,20140401
금우,609-81-22509,감사보고서 (2012.12),20130408000059,20130408
금우,609-81-22509,감사보고서 (2011.12),20120406001609,20120406
금우,609-81-22509,감사보고서 (2010.12),20110407000022,20110407
금우,609-81-22509,감사보고서 (2009.12),20100406000781,20100406
금우,609-81-22509,감사보고서 (2008.12),20090401000522,20090401
금우,609-81-22509,감사보고서 (2007.12),20080408000698,20080408
남양에스앤티,503-81-28980,감사보고서 (2015.12),20160411001206,20160411
남양에스앤티,503-81-28980,감사보고서 (2014.12),20150413001913,20150413
남양에스앤티,503-81-28980,감사보고서 (2013.12),20140414000486,20140414
